Query,Response
"Give a brief explanation of Section 293 of Chapter XIV in Pakistan Penal Code (Sale, etc., of obscene objects to young person:).","Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished with imprisonment of eit her description for a term which may extend to six months, or with fine, or with both."
What is Section 294 of Chapter XIV of Pakistan Penal Code (Obscene acts and songs:) about?,"Whoever, to the annoyance of others, -- (a) does any obscene act in any public place, or (b) sings, recites or utters any obscene songs, ballad or words, in or near any public place, shall be punished with imprisonment of either description for a term which may extend to three months, or with fine, or with both. 103[ 294- A. Keeping lottery office: Whoever keeps any office or place for the purpose of drawing any lottery not being a State lottery or a lottery authorized by the Provincial Government shall be punished with imprisonment of either description for a term which may extend to six months, or with fine, or with both. And whoever publishes any proposal to pay any sum, or to deliver any goods, or to do or forbear doing anything for the benefit of any person, on any event or contingency relative or applicable to the drawing of any ticket, lot, num ber or figure in any such lottery shall be punished with fine which may extend to 104[three thousand rupees] 104. ] 103 105[ 294- B. Offering of prize in connection with trade, etc.: Whoever offers, or undertakes to offer, in connection with any trade or business or sale of any commodity, any prize, reward or other similar consideration, by whatever name called, whether in money or kind, against any coupon, ticket, number or figure, or by any other device, as an inducement or encouragement to trade or business or to the buying of any commodity, or for the purpose of advertisement or popularising any commodity, and whoever publishes any such offer, shall be punishable, with imprisonment of either description for a term which may extend to six months, or with fine, or with both. ] 105 XV OF OFFENCES RELATING TO RELIGION"
"What does Section 295 of Pakistan Penal Code (Injuring or defiling place of worship, with Intent to insult the religion of any class:) deal with?","Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of persons with the intention of thereby insulting the religion of any class of persons or with the knowledge that any class of persons is likely to consider such destruction damage or defilement as an insult to their religion. shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both. 106[ 295- A. Deliberate and malicious acts intended to outrage religious feelings of any class by insulting Its religion or religious beliefs: Whoever, with d eliberate and malicious intention of outraging the 'religious feelings of any class of the citizens of Pakistan, by words, either spoken or written, or by visible representations insults the religion or the religious beliefs of that class, shall be punishe d with imprisonment of either description for a term which may extend to ten years, or with fine, or with both. ] 106 107[ 295- B. Defiling, etc., of Holy Qur'an: Whoever wilfully defiles, damages or desecrates a copy of the Holy Qur'an or of an extract therefrom or uses it in any derogatory manner or for any unlawful purpose shall be punishable with imprisonment for life. ] 107 108[ 295- C. Use of derogatory remarks, etc., in respect of the Holy Prophet: Whoever by words, either spoken or written, or by visible representation or by any imputation, innuendo, or insinuation, directly or indirectly, defiles the sacred name of the Holy Prophet Muhammad (peace be upon him) shall be punished with death, or imprisonment for life, and shall also be liable to fine. ] 108"
Give a brief explanation of Section 296 of Chapter XV in Pakistan Penal Code (Disturbing religious assembly:).,"Whoever voluntarily causes disturbance to any assembly lawfully engaged in the performance of religious worship, or religious ceremonies, shall be punished with imprisonment of either description for a term which may extend t o one year, or with fine, or with both."
"Could you describe the contents of Section 297 from Pakistan Penal Code (Trespassing on burial places, etc.:)?","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person, or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sculpture, or any place set apart for the performance of funeral rites or as a, depository for the remains of the dead, or offers any indignity to any human corpse or causes disturbance to any persons assembled for the performance of funeral ceremonies, s hall be punished with imprisonment of either description for a term which may extend to one year, or with fine, or with both."
"Give a brief explanation of Section 298 of Chapter XV in Pakistan Penal Code (Uttering words, etc., with deliberate intent to wound religious feelings:).","Whoever, with the deliberate intention o f wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that person or places any object in the sight of that person, shall be punished with imprisonment of either description for a term which may extend to one year or with fine, or with both. 109[ 298- A. Use of derogatory remarks, etc., in respect of holy personages: Whoever by words, either spoken or written, or by visible representation, or by any imputation, innuendo or insinuation, directly or indirectly, defiles the sacred name of any wife (Ummul Mumi neen), or members of the family (Ahle -bait), of the Holy Prophet (peace be upon him), or any of the righteous Caliphs (Khulafa -e-Rashideen) or companions (Sahaaba) of the Holy Prophet (peace be upon him) shall be punished with imprisonment of either descri ption for a term which may extend to three years, or with fine, or with both. ] 109 110[ 298-Misuse of epithets, descriptions and titles, etc., reserved for certain holy personages or places: B. (1) Any person of the Quadiani group or the Lahori group (who call themselves 'Ahmadis' or by any other name who by words, either spoken or written, or by visible representation - (a) refers to or addresses, any person, other than a Caliph or companion of the Holy Prophet Muhammad (peace be upon him), as ""Ameer -ul-Mumineen"", ""Khalifatul - Mumineen"", Khalifa -tul-Muslimeen"", ""Sahaabi"" or ""Razi Allah Anho""; (b) refers to, or addresses, any person, other than a wife of the Holy Prophet Muhammad (peace be upon him), as ""Ummul -Mumineen""; (c) refers to, or addresses, any person, other than a member of the family ""Ahle -bait"" of the Holy Prophet Muhammad (peace be upon him), as ""Ahle -bait""; or (d) refers to, or names, or calls, his place of worship a ""Masjid""; shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. (2) Any person of the Qaudiani group or Lahori group (who call themselves ""Ahmadis"" or by any other name) who by words, either spoken or written, or by visible representation refers to the mode or form of call to prayers followed by his faith as ""Azan"", o r recites Azan as used by the Muslims, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine. 298- C. Person of Quadiani group, etc., calling himself a Muslim or preaching or propagating his faith: Any person of the Quadiani group or the Lahori group (who call themselves 'Ahmadis' or by any other name), who directly or indirectly, poses himself as a Muslim , or calls, or refers to, his faith as Islam, or preaches or propagates his faith, or invites others to accept his faith, by words, either spoken or written, or by visible representations, or in any manner whatsoever outrages the religious feelings of Musl ims shall be punished with imprisonment of either description for a term which may extend to three years and shall also be liable to fine. ] 110 111[ XVI OF OFFENCES AFFECTING THE HUMAN BODY Of Offences Affecting Life"
Can you explain Section 299 of Chapter XVI of Pakistan Penal Code (Definitions:)?,"In this Chapter, unless there is anything repugnant in the subject or context: (a) ""adult"" means a person who has attained the age of eighteen years; (b) ""arsh"" means the compensation specified in this Chapter to be paid to the victim or his heirs under this Chapter; (c) ""authorised medical officer"" means a medical officer or a Medical board, howsoever designated, authorised by the Provincial Governmen t; (d) ""daman"" means the compensation determined by the Court to be paid by the offender to the victim for causing hurt not liable to arsh; (e) ""diyat"" means the compensation specified in Section 323 payable to the heirs of the victim; (f) ""Government"" means the Provincial Government; (g) ""ikrah -e-tam"" means putting any person, his spouse or any of his blood relations within the prohibited degree of marriage in fear of instant death or instant, permanent impairing of any organ of the bo dy or instant fear of being subjected to sodomy or ziha -bil-jabr; (h) ""ikrah -e-naqis"" means any form of duress which does not amount to ikrah -i-tam; (i) ""minor"" means a person who is not an adult; 112[(ii) ""offence committed in the name or on the pretext of honour"" means an offence committed in the name or on the pretext of karo kari, siyah kari or simila r other customs or practices;] 112 (j) ""qatl"" means causing death of a person; (k) ""qisas"" means punishment by causing similar hurt at the same part of the body of the convict as he has caused to the victim or by causing his death if he has committed qatl -iamd in exercise Of the right of the victim or a Wali; (l) ""ta'zir"" means puru shment other than qisas, diyat, arsh , or daman; and (m) ""wali"" means a person entitled to claim qisas."
What is Section 300 of Chapter XVI of Pakistan Penal Code (Qatl -e-Amd:) about?,"Whoever, with the intention of causing death or with the intention of causing bodily injury to a person, by doing an act which in the ordinary course of nature is likely to cause death, or with -the knowledge that his act is so imminently dangerous that it must in all probability cause death, causes the death of such person, is said to commit qatl -e-amd."
Give a brief explanation of Section 301 of Chapter XVI in Pakistan Penal Code (Causing death of person other than the person whose death was intended:).,"Where a person, by doing anything which he intends or knows to be likely to cause death, causes death of any person whose death he neither intends nor knows himself to be likely to cause, such an act committed by the offender shall be liable for qatl -i-amd ."
Give a brief explanation of Section 302 of Chapter XVI in Pakistan Penal Code (Punishment of qatl -i-amd:).,"Whoever commits qatl -e-amd shall, subject to the provisions of this Chapter be: (a) punished with death as qisas; (b) punished with death or imprisonment for life as ta'zir having regard to the facts and circumstances of the case, if the proof in either of the forms specified in Section 304 is not available; or (c) punished with imprisonment of either description for a term which may extend to twenty -five years, where according to the injunctions of Islam the punishment of qisas is not applicable 113[:] 113 114[ Provided that nothing in this clause shall apply to the offence of qatl -i-amd if committed in the name or on the pretext of honour and the same shall fall within the ambit of (a) and (b), as the case may be. ] 114"
Can you explain Section 303 of Chapter XVI of Pakistan Penal Code (Qatl committed under ikrah -i-tam or ikrah -i-naqis:)?,"Whoever commits qatl: (a) under Ikrah -i-tam shall be punished with imprisonment for a term which may extend to twenty -five years but shall not be less than ten years and the person causing 'ikrah -i-tam' shall be punished for the kind of Qatl committed as a consequence of ikrah -i-tam; or (b) under 'ikrah -i-naqis' shall be punished for the kind of Qatl committed by him and the person, causing 'ikrah -i-naqis, shall be punished with imprisonment for a term which may extend to ten years."
"What is stated in Section 304 of Chapter XVI of Pakistan Penal Code (Proof of qatl -i-amd liable to qisas, etc.:)?","(1) Proof of qatl -i-amd shall be in any of the following forms, namely: - (a) the accused makes before a Court competent to try the offence a voluntary and true confession of the commission of the offence; or (b) by the evidence as provided in Article 17 of the Qanun -e-Shahadat, 1984 (P.O. No. 10 of 1984). (2) The provisions of sub -section (1) shall, mutatis, mutandis, apply to a hurt liable to qisas."
Please explain Section 305 of Chapter XVI of Pakistan Penal Code (Wali:).,"In case of qatl, the wali shall be -- (a) the heirs of the victim, according to his personal law 115[but shall not include the accused or the convict in case of qatl -i-amd if committed in the name or on the pretext of honour] 115; and (b) the Government, if there is no heir."
Give a brief explanation of Section 306 of Chapter XVI in Pakistan Penal Code (Qatl -e-amd not liable to qisas:).,"Qatl -i-Amd shall not be liable to qisas in the following cases, namely: -- (a) when an offender is a minor or insane: Provided that, where a person liable to qisas associates himself in the commission of the offence with a person not liable to qisas, w ith the intention of saving himself from qisas, he shall not be exempted from qisas; (b) when an offender causes death of his child or grand -child, how low -so-ever; and (c) when any wali of the victim is a direct descendant, how low -so-ever, of the offender."
What is stated in Section 307 of Chapter XVI of Pakistan Penal Code (Cases in which Qisas for qatl -i-amd shall not be enforced:)?,"(1) Qisas for qatl -i-amd shall not be enforced in the following cases, namely: -- (a) when the offender dies before the enforcement of qisas; (b) when any wali voluntarily and without duress, to the satisfaction of the Court, waives the right of qisas under Section 309 or compounds under Section 310 and (c) when the right of qisas devolves on the offender as a result of the death of the wali of the victim, or on, the person who has no right of qisas against the offender. (2) To satisfy itself that the wali has waived the right of qisas under Section 309 or compounded the right of qisas under Section 310 voluntarily and without duress the Court shall take down the statement of the wali and such other persons as it may deem nece ssary on oath and record an opinion that it is satisfied that the Waiver or, as the case may be, the composition, was voluntary and not the result of any duress. Illustrations (i) A kills Z, the matern al uncle of his son B. Z has no other wali except D the wife of A. D has the right of qisas from A but if D dies, the right of qisas shall devolve on her son B who is also the son of the offender A. B cannot claim qisas against his father. Therefore, the q isas cannot be enforced. (ii) B kills Z, the brother of their husband A. Z has no heir except A. Here A can claim qisas from his wife B. But if A dies, the right of qisas shall devolve on his son D who is also son of B, the qisas cannot be enfor ced against B."
"Give a brief explanation of Section 308 of Chapter XVI in Pakistan Penal Code (Punishment in qatl -i-amd not liable to qisas, etc.:).","(1) Where an offender guilty of qatl -i-amd is not liable to qisas under Section 306 or the gisas is not enforceable under clause (c) of Section 307, he shall be liable to diyat: Provided that, where the offender is minor or insane, diyat shall be payable eithe r from his property or, by such person as may be determined by the Court: Provided further that where at the time of committing qatl -i-amd the offender being a minor, had attained sufficient maturity of being insane, had a lucid interval, so as to be able to realize the consequences of his act, he may also be punished with imprisonment of either description for a term which may extend to 116[twenty -five years] 116 as ta'zir. Provided further that, where the qisas is not enforceable under clause (c) of Section 307, the offender shall be liable to diyat only if there is a ny wali other than offender and if there is no wali other than the offender, he shall be punished with imprisonment of either description for a term which may extend to 117[twenty -five years] 117 years as ta'zir. (2) Notwithstanding anything contained in sub -section (i), the Court, having regard to the facts and circumstances of the case in addition to the punishment of diyat, may punish the offender with imprisonment of either description for a term which may extend t o 118[twenty -five years] 118 years, as ta'zir."
Please explain Section 309 of Chapter XVI of Pakistan Penal Code (Waiver (Afw) of qisas in qatl -i-amd:).,"(1) In the case of qatl -i-amd, an adult sane wali may, at any time and without any compensation, waive his right of qisas: Provided that the right of qisas shall not be waived; (a) where the Government is the wali, or (b) where the right of qisas vests in a minor or insane. (2) Where a victim has more than one Wali any one of them may waive his right of qisas: Provided that the wali who does not waive the right of qisas shall be entitled to his share of diyat. (3) Where there are more than one victim, the waiver of the right of qisas by the wali of one victim shall not affect the right of qisas of the wali of the other victim. (4) Where there are more than one offenders, the waiver of the right of qisas a gainst one offender shall not affect the right of qisas against the other offender."
Please explain Section 310 of Chapter XVI of Pakistan Penal Code (Compounding of qisas (Sulh) in qatl -i-amd:).,"(1) In the case of qatl -i-amd, an adult sane wali may, at any time on accepting badl -i-sulh, compound his right of qisas: 119[ Provided that a female shall not be gi ven in marriage or otherwise in badal -i-sulh. ] 119 (2) Where a wali is a minor or an insane, the wali of such minor or insane wali may compound the right of qisas on behalf of such minor or insane wali: Provided that the value of badf -i-sufh shall not be less than the value of diyat. (3) Where the Government is the wali, it may compound the right of qisas: Provided that fee value of badi -i-sulh shall not be less than the value of diyat. (4) Where the badl -i-sulh is not determined or is a property or a right the value of which cannot be determined in terms of money under Shari'ah, the right of qisas shall be deemed to have been compounded and the offender shall be liable to diyat. (5) Badl -i-sulh may be paid or given on demand or on a deferred date as may be agreed upon between the offender and the wali. Explanation: In this section, Badl -i-sulh means the mutually agreed compensation according to Shari'ah to be paid or given by the offender to a wali in cash or in kind or in the form of movable or immovable property. 120["
What does Section 310A of Pakistan Penal Code (Punishment for giving a female in marriage or otherwise in badal -i-sulh:) deal with?,Whoever gives a female in marriage or otherwise in badal -i-sulh shall be punished with rigorous imprisonment which may extend to ten years but shall not be less than three years. ] 120
Could you describe the contents of Section 311 from Pakistan Penal Code (Ta'zir after waiver or compounding of right of qisas in qatl -i-amd:)?,"Notwithstanding anything contained in Section 309 or Section 310, where all the wali do not waive or compound the right of qisas, or 121[if] 121 the principle of fasad -fil-arz the Court may, 122[] 122having regard to the facts and circumstances of the case, punish an offender against whom the right of qisas has been waived or compounded with 123[death or imprisonment for l ife or] 123 imprisonment of either description for a term of which may extend to fourteen years as ta'zir 124[:] 124 125[ Provided that if the offence has been committed in the name or on the pretext of honour, the imprisonment shall not be less than ten years. ] 125 Explanation: For the purp ose of this section, the expression fasad -fil-arz shall include the past conduct of the offender, or whether he has any previous convictions, or the brutal or shocking manner in which the offence has been committed which is outrageous to the public conscie nce, or if the offender is considered a potential danger to the community 126[, or if the offence has been committed in the name or on the pretext of honour] 126."
What is Section 312 of Chapter XVI of Pakistan Penal Code (Qatl -i-amd after waiver or compounding of qisas:) about?,"Where a wali commits qatl -iamd of a convict against whom the right of qisas has been waived under Section 309 or compounded under Section 310, such wali shall be punished with - (a) qisas, if he had himself, waived or compounded the right of qisas against the convict or had knowledge of such waiver of -composition by another wali, or (b) diyat, if he had no knowledge of such waiver or composition."
Section 313 of Chapter XVI in Pakistan Penal Code (Right of qisas in qatl -i-amd:): What does it say?,"(1) Where there is only one wali, he alone has the right of qisas in qatl -i-amd but, if there are more than one, the right of qisas vests in each of them. (2) If the victim - (a) has no wali, the Government shall have the right of qisas; or (b) has no wali other than a minor or insane or one of the wali is a minor or insane, the father or if he is not alive the paternal grandfather of such wali shall have the right of qisas on his behalf: Provided that, if the minor or insane wali has no fat her or paternal grandfather, how high -so-ever, alive and no guardian has been appointed by the Court, the Government shall have the right of qisas on his behalf."
What does Section 314 of Pakistan Penal Code (Execution of qisas in qatl -i-amd:) deal with?,"(1) Qisas in Qatll -i-amd shall be executed by a functionary of the Government by causing death of the convict as the Court may direct. (2) Qisas shall not be executed until all the wali are present at the time of execution, either personally or through their representatives authorised by them in writing in this behalf: Provided that where a wali or his representative fails to present himself on the date, time and place of execution of qisas after having been informed of the date, time and place as certified by the Court, an officer authorised by the Court shall give permission for the execution of qisas and the Government shall cause execution of qisas in the absence of such wali. (3) If the convict is a woman who is pregnant, the Court may, in consultation with an authorised medical officer, postpone the execution of qisas up to a period of two years after the birth of the child and during this period she may be released on bail on furnishing of security to the satisfaction of the Court, or, if she is not so released she shall, be dealt with as if sentenced to simple imprisonment."
Can you explain Section 315 of Chapter XVI of Pakistan Penal Code (Qatl shibh -i-amd:)?,"Whoever, with intent to cause harm to the body or mind of any person, causes the death of that or of any other person by means of a weapon or an act which in the ordinary course of nature is not likely to cause death is said to commit qatl shibh -i-amd. Illustration A in order to cause hurt strikes Z with a stick or stone which in the ordinary course of nature is not likely to cause death. Z dies as a result of such hurt. A shall be guilty of Qatl shibh -i-amd."
What does Section 316 of Pakistan Penal Code (Punishment for Qatl shibh -i-amd:) deal with?,Whoever commits qatl shibh -i-amd shall be liable to diyat and may also be punished with imprisonment of either description for a term which may extend to 127[twenty -five years] 127 years as ta'zir.
Please explain Section 317 of Chapter XVI of Pakistan Penal Code (Person committing qatl debarred from succession:).,"Where a person committing qatl -i-amd or Qatl shibh -i-amd is an heir or a beneficiary under a will, he shall be debarred from succeeding to the estate of the victim as an heir or a beneficiary."
Section 318 of Chapter XVI in Pakistan Penal Code (Qatl -i-khata:): What does it say?,"Whoever, without any intention to cause death of, or cause harm to, a person causes death of such person, either by mistake of act or by mistake of fact, is said to commit qatl -i-khata. Illustrations (a) A aims at a deer but misses the target and kills Z who is standing by, A is guilty of qatl -i-khata. (b) A shoots at an object to be a boar but it turns out to be a human being. A is guilty of qatl -i- khata."
Could you describe the contents of Section 319 from Pakistan Penal Code (Punishment for qatl -i-khata:)?,"Whoever commits qatl -i-khata shall be liable to diyat: Provided that, where qatl -i-khata is committed by a rash or negligent act, other than rash or negligent driving, the offender may, in addition to diyat, also be punished with imprisonment of either description for a term which may extend to five years as ta'zir."
What is stated in Section 320 of Chapter XVI of Pakistan Penal Code (Punishment for qatl -i-khata by rash or negligent driving:)?,"Whoever commits qatl -ikhata by rash or negligent driving shall, having regard to the facts and circumstances the case, in addition to diyat, be punished with imprisonment of either des cription for a term which may extend to ten years."
Can you explain Section 321 of Chapter XVI of Pakistan Penal Code (Qatl -bis-sabab:)?,"Whoever, without any intention, cause death of, or cause harm to, any person, does any unlawful act which becomes a cause for the death of another person, is said to commit qatl -bis-sabab. Illustration A unlawfully digs a pit in the thoroughfare, but wit hout any intention to cause death of, or harm to, any person, B while passing from there falls in it and is killed. A has committed qatl -bis-sabab."
Can you explain Section 322 of Chapter XVI of Pakistan Penal Code (Punishment for qatl -bis-sabab:)?,Whoever commit qatl bis -sabab shall be liable to diyat.
Can you explain Section 323 of Chapter XVI of Pakistan Penal Code (Value of diyat:)?,"(1) The Court shall, subject to the Injunctions of Islam as laid down in the Holy Qur'an and Sunnah and keeping in view the financial position of the convict and the heirs of the victim, fix the value of diyat which shall n ot be less than the value of thirty thousand six hundred and thirty grams of silver. (2) For the purpose of sub -section (1), the Federal Government shall, by notification in the official Gazette, declare the value of Silver, on the first day of July each year or on such date as it may deem fit, which shall be the value payable during a financi al year."
What does Section 324 of Pakistan Penal Code (Attempt to commit qatl -i-amd:) deal with?,"Whoever does any act with such intention or knowledge, and under such circumstances, that, if he by that act caused qatl, he would be guilty of qatl -i-amd, shall be punished with imprisonment for either description for a term which may extend to ten years 128[but shall not be less than five years if the offence has been committed in the name or on the pretext of honour] 128, and shall also be liable to fine, and, if hurt is caused to any person by such act, the offender shall, in addition to the imprisonment and fine as aforesaid, be liable to the punishment provided for t he hurt caused: Provided that where the punishment for the hurt is qisas which is not executable, the offender shall be liable to arsh and may also be punished with imprisonment of either description for a term which may extend to seven years."
Please explain Section 325 of Chapter XVI of Pakistan Penal Code (Attempt to commit suicide:).,"Whoever attempts to commit suicide and does any act towards the commission of such offence, shall be punished with simple imprisonment for a term which may extend to one year, or with fine, or with both."
What does Section 326 of Pakistan Penal Code (Thug:) deal with?,"Whoever shall have been habitually associated with any other or others for the purpose of committing robbery or child -stealing by means of or accompanied with Qatl, is a thug."
Can you explain Section 327 of Chapter XVI of Pakistan Penal Code (Punishment:)?,"Whoever is a thug, shall be punished with imprisonm ent for life and shall also be liable to fine."
Could you describe the contents of Section 328 from Pakistan Penal Code (Exposure and abandonment of child under twelve years by parent or person having care of it:)?,"Whoever being the father or mother of a child under the age of twelve years, or having the care of such child, shall expose or leave such child in any place with the intention of wholly abandoning such child, shall be punished with imprisonment' of either description for - a term which may extend to seven years, or with fine, or with both. Explanation: This section is not intended to prevent the trial of the offender for qatl -i-amd or qatl - i-shibh -i-amd or qatl -bis-sabab, as the case may be, if the child dies in consequence of the exposure."
What is stated in Section 329 of Chapter XVI of Pakistan Penal Code (Concealment of birth by secret disposal of dead body:)?,"Whoever, by secretly burying or otherwise disposing of the dead body of a child whether such child dies before or after or during its birth, intentionally conceals or endeavours to conceal the birth shall be punishable with imprisonment of either des cription for a term which may extend to two years, or with fine, or with both."
What is stated in Section 330 of Chapter XVI of Pakistan Penal Code (Disbursement of diyat:)?,"The diyat shall be disbursed among the heirs of the victim according to their respective shares in inheritance: Provided that, where an heir foregoes his share, the diyat shall not be recovered to the extent of his share."
Section 331 of Chapter XVI in Pakistan Penal Code (Payment of Diyat:): What does it say?,"(1) The diyat may be made payable in lumpsum or in instalments spread over a period of three years from the date of the final judgment. (2) Where a convict fails to pay diyat or any part thereof within the period specified in subsection (1), the convict may be kept in jail and dealt with in the same manner as if sentenced to simple imprisonment until the diyat is paid full or may be released o n bail If he furnishes security equivalent to the amount of diyat to the satisfaction of the Court. (3) Where a convict dies before the payment of diyat or any part thereof, it shall be recovered from his estate. 332 Hurt: (1) Whoever causes pain, harm, disease, infianity or injury to any person or impairs, disables or dismembers any organ of the body or part thereof of any person without causing his death, is said to cause hurt. (2) The following are the kinds of hurt: (a) Itlaf-i-udw (b) Itlaf-i-salahiyyat -i-udw (c) shajjah (d) jurh and (e) all kinds of other hurts."
Can you explain Section 333 of Chapter XVI of Pakistan Penal Code (Itlaf-i-udw:)?,"Whoever dismembers, amputates, severs any limb or organ of the body of another person is said to cause Itlaf -i-udw."
Please explain Section 334 of Chapter XVI of Pakistan Penal Code (Punishment for Itlaf -udw:).,"Whoever by doing any act with the intention of thereby causing hurt to any person, or with the knowledge that he is likely thereby to cause hurt to any person causes Itlaf -i-udw of any person, shall, in consultation with the authorised medical officer, be punished with qisas, and if the qisas is not executable keeping in view the principles of equality in accordance with the Injunctions of Islam, the offender shall be liable to arsh and may also be punished with imprisonment of either description for a term which may extend to ten years as ta'zir."
Give a brief explanation of Section 335 of Chapter XVI in Pakistan Penal Code (Itlaf-i-salahiyyat -i-udw:).,"Whoever destroys or permanently impairs the functioning, power or capacity of an organ of the body of another person, or causes permanent disfigurement is said to cause itlaf -i-salahiyyat -i- udw."
Can you explain Section 336 of Chapter XVI of Pakistan Penal Code (Punishment for itlaf -i-salahiyyat -i-udw:)?,"Whoever, by doing any act with the intention of causing hurt to any person, or with the knowledge that he is likely to cause hurt to any person, causes itlaf -i-salahiyyat -i-udw of any person, shall, in consultation with the authorised medical officer, be p unished with qisas and if the qisas is not executable, keeping in view the principles of equality in accordance with the Injunctions of Islam, the offender shall be liable to arsh and may also be punished with imprisonment of either description for a term which may extend to ten years as tazir."
